lat,lng,nb
43.609022,1.441105,3
43.587323,1.39462,6
43.597355,1.459063,1
43.605031,1.437386,2
43.600614,1.372218,5
43.573732,1.448768,0
43.579666,1.44184,2
43.63639,1.433072,0
43.566932,1.400526,1
43.56644,1.475301,6
43.605899,1.463601,6
43.57141,1.462732,4
43.589928,1.441706,1
43.609757,1.455212,0
43.596904,1.452596,0
43.602914,1.451719,5
43.597322,1.403694,0
43.651176,1.432557,0
43.615273,1.442937,0
43.624114,1.438463,6
43.632734,1.431732,0
43.567628,1.371151,1
43.605557,1.458483,6
43.63694,1.452615,3
43.57179,1.418239,1
43.581463,1.379769,4
43.59778,1.431619,4
43.600473,1.420165,3
43.577461,1.442964,1
43.570862,1.49832,3
43.615988,1.42163,0
43.604565,1.453659,0
43.599525,1.445544,0
43.596667,1.436229,0
43.569148,1.408256,5
43.593227,1.435062,0
43.597539,1.428891,3
43.64046,1.469314,2
43.606208,1.455005,2
43.603302,1.445454,4
43.614574,1.443571,3
43.595503,1.418503,3
43.599797,1.429521,4
43.612615,1.448286,5
43.609622,1.449431,3
43.561074,1.462928,1
43.641013,1.448524,4
43.608639,1.436965,1
43.604681,1.474453,5
43.561453,1.384967,2
43.58456,1.415683,3
43.609277,1.432157,1
43.567744,1.451907,1
43.586894,1.492386,5
43.601356,1.411617,3
43.570117,1.473463,6
43.605637,1.364053,2
43.55978,1.37828,1
43.612627,1.438268,0
43.605381,1.432485,4
43.611584,1.414669,5
43.562792,1.406829,1
43.576637,1.470245,4
43.60419,1.445475,2
43.593516,1.430039,6
43.605777,1.446507,1
43.647504,1.43286,3
43.564067,1.413739,3
43.602797,1.408133,5
43.57933,1.423325,4
43.628145,1.451413,1
43.587845,1.409785,5
43.594461,1.443822,0
43.639633,1.452569,3
43.573708,1.41394,3
43.582717,1.386115,3
43.57421,1.462367,1
43.622963,1.458647,5
43.601016,1.434129,4
43.586086,1.482942,4
43.59859,1.436594,0
43.6159088,1.0001755,0
43.576221,1.406355,6
43.580259,1.434156,3
43.564715,1.395886,6
43.594812,1.449176,6
43.584339,1.427597,0
43.588588,1.451003,3
43.56481,1.488996,3
43.619291,1.468681,3
43.610183,1.472401,6
43.602708,1.454367,4
43.611271,1.438093,0
43.592782,1.444726,4
43.619704,1.429176,2
43.615275,1.434944,1
43.628672,1.448469,3
43.601523,1.384712,6
43.643358,1.455501,5
43.605078,1.376499,3
43.600361,1.464039,6
43.610556,1.464953,2
43.5937364,1.3911254,1
43.601372,1.452038,6
43.579135,1.392596,0
43.606486,1.36915,4
43.593147,1.424313,6
43.5599624,1.3944267,3
43.616939,1.454243,6
43.576893,1.440049,4
43.566528,1.458648,1
43.583264,1.407055,4
43.604079,1.450158,5
43.609222,1.453542,1
43.550424,1.386158,0
43.635856,1.443828,6
43.600055,1.449273,4
43.599732,1.415372,0
43.601719,1.458019,1
43.578687,1.446733,2
43.644963,1.433998,1
43.568165,1.464353,1
43.618287,1.436857,0
43.583202,1.481757,0
43.601888,1.440368,2
43.651318,1.438377,1
43.579171,1.410939,3
43.633454,1.435519,1
43.600021,1.44293,1
43.608267,1.389792,1
43.62563,1.439513,2
43.626914,1.444986,2
43.62724,1.469293,0
43.619301,1.396986,1
43.608605,1.4436,4
43.576773,1.454742,1
43.642859,1.461124,3
43.597343,1.383108,1
43.610343,1.420407,1
43.608597,1.397192,6
43.629655,1.466259,1
43.605804,1.428054,3
43.550243,1.457515,3
43.633171,1.450638,1
43.592366,1.434121,3
43.587389,1.417918,3
43.612279,1.428827,3
43.606847,1.430615,1
43.622578,1.462668,2
43.581632,1.475865,6
43.593567,1.453066,1
43.581384,1.413607,0
43.608424,1.423848,4
43.606241,1.438341,1
43.635586,1.464289,3
43.573998,1.419495,2
43.61497,1.432909,0
43.605161,1.442323,6
43.600704,1.467249,0
43.600712,1.48356,0
43.596069,1.410505,2
43.591193,1.384961,5
43.623677,1.467356,6
43.612475,1.451558,0
43.599598,1.440942,1
43.573815,1.491081,4
43.563636,1.45531,3
43.590046,1.415246,4
43.592077,1.439829,0
43.608571,1.434762,1
43.589126,1.431449,6
43.605571,1.449297,2
43.606146,1.44135,0
43.585732,1.427853,0
43.620607,1.415125,1
43.627013,1.477098,5
43.606975,1.473375,3
43.631641,1.454852,6
43.580915,1.449198,1
43.581868,1.419446,4
43.644197,1.463566,3
43.626597,1.458835,1
43.616938,1.473616,6
43.586859,1.463178,3
43.606204,1.355664,2
43.637842,1.464879,4
43.651836,1.419854,4
43.596411,1.456584,2
43.636446,1.438984,1
43.619031,1.456759,2
43.598478,1.434043,6
43.585409,1.453014,3
43.59487,1.415088,1
43.577437,1.423953,5
43.575101,1.424227,0
43.630519,1.43234,0
43.611073,1.436704,0
43.554843,1.428013,1
43.596652,1.45564,2
43.623823,1.475935,5
43.608674,1.439461,2
43.603205,1.448118,3
43.612162,1.477347,0
43.585431,1.377279,5
43.600828,1.473579,6
43.592347,1.457491,2
43.604885,1.445306,3
43.591484,1.470014,6
43.565079,1.478297,1
43.579846,1.460126,4
43.600348,1.444659,0
43.622099,1.453553,1
43.609602,1.446881,4
43.6159088,1.0001755,0
43.593052,1.414659,6
43.596314,1.447081,4
43.605687,1.428225,5
43.595247,1.445416,3
43.572131,1.38317,2
43.557264,1.46541,2
43.597825,1.451609,0
43.641034,1.466458,0
43.580296,1.45486,5
43.633437,1.469891,3
43.5552,1.457169,4
43.607369,1.439453,3
43.597908,1.420144,0
43.622823,1.474083,2
43.622042,1.405735,6
43.593979,1.410311,5
43.569898,1.485423,2
43.596256,1.462071,1
43.58771,1.459838,6
43.584444,1.398745,4
43.607847,1.446666,2
43.642299,1.4496236,4
43.632532,1.463081,3
43.605855,1.452805,2
43.590111,1.423003,0
43.579763,1.480838,3
43.601379,1.403879,5
43.596193,1.473375,1
43.592951,1.40379,1
43.629395,1.476186,5
43.609191,1.442749,5
43.578572,1.450234,4
43.584492,1.411057,1
43.59522,1.432503,2
43.61567,1.428308,2
43.608999,1.379956,3
43.554796,1.387295,6
43.548387,1.390449,6
43.640631,1.440154,4
43.624514,1.443326,6
43.620308,1.440963,0
43.579341,1.47313,4
43.599637,1.429338,1
43.656202,1.432254,6
43.6103,1.442975,4
43.589921,1.377827,3
43.628659,1.482629,0
43.567084,1.506071,3
43.610663,1.443637,3
43.635421,1.472855,3
43.594671,1.488444,2
43.571497,1.402857,6
43.602426,1.425347,4
43.563894,1.474416,1
43.628271,1.425653,6
43.648121,1.450024,1
43.613149,1.441326,4
43.607222,1.451244,3
43.562329,1.48431,3
43.591661,1.418768,0
43.606453,1.420798,0
43.602671,1.442031,4
43.60202,1.414772,1
43.606701,1.458143,5
43.588046,1.42436,5
43.562273,1.480912,6
43.603228,1.436034,5
43.60592,1.481742,2
43.600241,1.42564,0
43.614083,1.451158,6
43.654363,1.438131,4
43.578537,1.438375,4
43.594117,1.465197,5
43.560168,1.457394,2
43.589802,1.455967,2
43.613555,1.401417,6
43.61009,1.434974,6
43.61432,1.461721,3
43.597281,1.369665,2
43.604159,1.407267,2
43.611556,1.439662,4
43.620967,1.412027,0
43.613504,1.430339,3
43.627108,1.465538,5
43.598966,1.440387,6
43.574466,1.402211,5
43.589557,1.4789,3
43.598124,1.431382,5
43.626244,1.411083,1
43.612555,1.467544,3
43.597941,1.443002,0
43.567307,1.467715,3
43.564413,1.375571,3
43.61539,1.448573,3
43.613442,1.446395,3
43.601607,1.456158,0
43.60962,1.430401,4
43.603842,1.420002,2
43.614514,1.411161,4
43.581506,1.462341,1
43.6008250248339,1.45065484986121,6
43.573895,1.483924,1
43.592349,1.449015,3
43.662024,1.434622,0
43.620693,1.435612,2
43.573248,1.48022,1
43.617712,1.445142,6
43.609218,1.459543,3
43.638055,1.444344,0
43.624202,1.454685,5
43.585924,1.475057,1
43.568038,1.413363,6
43.608004,1.428585,6
43.596419,1.45104,2
43.609766,1.445681,3
43.646547,1.431152,3
43.616945,1.408383,5
43.610005,1.419568,2
43.574602,1.476596,3
43.58144,1.388774,2
43.576029,1.473627,6
43.606346,1.44813,4
43.57337,1.452405,1
43.606115,1.414755,2
43.596716,1.424382,3
43.60459,1.44002,2
43.596889,1.426109,0
43.600188,1.454764,2
43.569089,1.456292,5
43.611052,1.452593,4
43.569972,1.391809,4
43.583511,1.487795,4
43.57688,1.460189,4
43.614159,1.397008,1
43.623998,1.427823,6
43.61324,1.419932,4
43.606499,1.44769,6
43.638044,1.457716,6
43.597364,1.445314,4
43.627643,1.461861,2
43.58355,1.470033,2
43.646471,1.426013,6
43.578809,1.379975,0
43.571858,1.42447,4
43.622966,1.434449,0
43.613881,1.424953,6
43.607608,1.441304,0
43.56502,1.398906,0
43.611386,1.456729,6
43.607189,1.409324,3
43.614227,1.437999,6
43.627017,1.434129,5
43.607468,1.454329,0
43.617458,1.465428,4
43.596294,1.432158,6
43.563741,1.425433,2
43.60742,1.444699,4
43.609275,1.479898,4
43.594359,1.44095,0
43.604677,1.449586,4
43.583787,1.443299,0
43.565027,1.410324,5
43.59643,1.48398,1
43.592388,1.442463,4
43.58295,1.448578,6
43.581793,1.425738,0
