id_evenement_api,ville_id,nom,description,date_debut,date_fin,latitude,longitude,adresse
FMAMID031V50RJZ7,1,"SYNCHRO, FESTIVAL DE CINÉ-CONCERTS","Un festival entièrement consacré au cinéma muet et au ciné-concert, deux dimensions qui font partie  de l’ADN de la Cinémathèque. Que vous soyez mélomane, cinéphile ou amoureux des deux arts, SYNCHRO vous attend tous pour partager du grand spectacle !",2024-11-25,2024-12-15,43.6070932,1.4421276,
FMAMID031V50X9QB,1,TARMO PELTOKOSKI / SOL GABETTA (ORCHESTRE NATIONAL DU CAPITOLE),"Un grand concert symphonique sous la direction de Tarmo Peltokoski, accompagné de la violoncelliste Sol Gabetta.",2025-02-27,2025-02-27,43.60029,1.45457,11 Place Dominique-Martin Dupuy
FMAMID031V50UW1Q,1,TOULOUSE SECRÈTE OU LA VILLE MÉCONNUE,"Vous voulez visiter la ville différemment et sortir des sentiers battus ? Cette visite va vous surprendre.  Détails cachés, petites histoires et trésors insoupçonnés ne demandent qu’à être révélés...",2024-09-08,2024-12-30,43.603908,1.44470599,Square du Général De Gaulle
FMAMID031V50W1YL,1,TRIO ZELIHA,"Saison Les Arts Renaissants
Échos romantiques, de Schubert à Brahms.",2025-01-07,2025-01-07,43.60407,1.43547,12 Place Saint-Pierre
FMAMID031V50W203,1,"VITTORIO GHIELMI, LUCA PIANCA ET CHRISTOPH URBANETZ",Le secret de monsieur Marin Marais,2025-03-06,2025-03-06,43.60336,1.44584,2 Rue du Lieutenant-Colonel Pélissier
FMAMID031FS00AI9,1,MARCHE DE NOEL DE BLAGNAC,Féérie de Noël au parc des Ramiers ! 75 chalets vous accueillent dans une ambiance féerique et un décor unique durant ces 5 jours de célébrations !,2024-12-04,2024-12-08,43.63484,1.40037,Allée du Canalet
FMAMID031V50X9O0,1,CONCERT DU NOUVEL AN (ORCHESTRE NATIONAL DU CAPITOLE),"Tout au long de sa vie, Beethoven repoussa les limites de la symphonie jusqu’à atteindre un point culminant avec sa Neuvième, idéal absolu du genre dont bien des compositeurs espérèrent approcher la perfection.",2024-12-31,2025-01-02,43.60029,1.45457,11 Place Dominique-Martin Dupuy
FMAMID031V50W693,1,AUTRES VOYAGES,"Schoenberg, Berio, Mantovani.
En écho à la création de son opéra Voyage d’automne.",2024-11-23,2024-11-23,43.60447,1.44379,Place du Capitole
FMAMID031V50UCYO,1,BALADE URBAINE DE BONNEFOY,Organisées par l'association En Quête de Patrimoine.,2024-12-07,2024-12-08,43.61502,1.45145,Rue du Maroc
FMAMID031V50W23E,1,BERTRAND CHAMAYOU,"LES GRANDS INTERPRÈTES
Ravel composa Gaspard de la Nuit comme un défi, pour surpasser la virtuosité déjà inouïe d’Islamey de Balakirev. Les deux pièces, au sommet de l’art du piano seront encadrées par d’autres chefs-d’œuvre de Liszt et Ravel.",2025-04-29,2025-04-29,43.5998852,1.45417761,1 place Dupuy
FMAMID031V50XSDZ,1,BRICE ET JOJO FÊTENT NOËL,"Dans ce nouveau spectacle, Brice et Jojo préparent Noël en famille !
A partir de 3 ans",2024-12-11,2024-12-15,43.63929,1.45598,67 Chemin Pujibet
FMAMID031V50K84P,1,BROCANTE DES ALLÉES,Venez chiner en famille ou entre amis à la brocante des allées François-Verdier en plein cœur de Toulouse !,2024-09-06,2024-12-08,43.59853,1.45199,Allées Forain-François Verdier
FMAMID031V50UHMG,1,CASSE-NOISETTE - BALLET ET ORCHESTRE,"Dans ce conte de Noël, la jeune Clara reçoit en cadeau un casse-noisette en forme de petit bonhomme. Au cours d’une nuit animée par une mystérieuse magie, les jouets, menés par Casse-Noisette, se livrent à une bataille acharnée contre les affreuses souris de la maison.",2024-11-22,2024-11-22,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XOXG,1,CELTIC LEGENDS,"CELTIC LEGENDS fait son grand retour avec un tout nouveau spectacle, plongeant au cœur de la tradition et de la puissance indomptable de l'île d'Émeraude !",2025-03-19,2025-03-19,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XQZX,1,CEST ENCORE MIEUX L'APRÈS-MIDI,"Une comédie qui claque autant que les 6 portes de cette joyeuse fête.

Durée : 1h30",2024-12-14,2024-12-31,43.5827373,1.34529442,Place Roger Panouse
FMAMID031V50W614,1,CHANSONS DANSÉES,"Van Cauwenbergh / Runacre-Temple / Bigonzetti 
Chansons dansées est à la fois un hommage à la chanson à textes française et à la chanson traditionnelle d’Italie du sud.",2025-03-07,2025-03-12,43.60447,1.44379,Place du Capitole
FMAMID031V50TQZ9,1,DES ORNEMENTS EN SÉRIE,Visite guidée proposée par l'Espace patrimoine en partenariat avec l’office de tourisme de Toulouse.,2024-11-23,2024-12-14,43.599702,1.444301,Place de la Trinité
FMAMID031V50VHL2,1,DISNEY EN CONCERT,Disney en Concert : « Magical Music from the movies » revient en France en 2024 pour une tournée de spectacles exceptionnels !,2024-12-07,2024-12-07,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XOYE,1,ÉLODIE POUX,"Comment passe-t-on d'animatrice périscolaire à humoriste ?
A cette question, très souvent posée, Elodie Poux a voulu répondre de la plus belle des manières : avec un spectacle !",2025-04-12,2025-04-12,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50RIUT,1,FESTIVAL CULTURE BAR-BARS,"Vos cafés, bars et club locaux vous ouvrent offrent pour cette 22e édition une programmation artistique abondante, diverse, variée et indépendante.",2024-11-28,2024-11-30,43.6046256,1.444205,
FMAMID031V50V1P1,1,FESTIVAL DU LIVRE DE JEUNESSE EN OCCITANIE,Le festival est de retour à Saint-Orens de Gameville et dans les communes de Toulouse Métropole pour sa 23e édition autour de la figure du héros dans la littérature jeunesse.,2025-01-25,2025-01-26,43.560096,1.5305465,
FMAMID031V50X8VW,1,GÉNÉRATION MITTERRAND,"Avec sa compagnie des Animaux en paradis, Léo Cohen-Paperman s’est lancé un sacré défi : faire le portrait théâtral des huit présidents de la Vème République, de De Gaulle à Macron. Génération Mitterrand est le deuxième épisode de la série.",2024-11-19,2024-11-20,43.594181,1.44895,35 Allées Jules Guesde
FMAMID031V50XC5C,1,GIRLS DON’T CRY PARTY,"Le festival le plus joyeux et de l’automne, de musiques électroniques et expérimentale queer et féminine prend ses quartiers pour une 4e édition !",2024-11-22,2024-11-24,43.59947,1.40838,16 Avenue Raymond Badiou
FMAMID031V50LD0G,1,GRANDES ET PETITES AFFAIRES CRIMINELLES,Justice et injustice ont marqué l’histoire toulousaine. Ici se sont joués des drames et se sont jugées des affaires qui auraient pu faire basculer l’Histoire de France. De lieu en lieu on vous révèle les destins extraordinaires de personnalités héroïques… ou inquiétantes.,2024-11-19,2024-12-29,43.6045802,1.4451303,Square du Général De Gaulle
FMAMID031V50XS40,1,HASSAN DE MONACO,"Véritable Doliprane de l'humour !
Nouvelle molécule issue d'un Laboratoire Monégasque.
Principe actif Marocain.
Composition: Autodérision, Finesse, Élégance, Tendresse.",2024-12-12,2024-12-14,43.59882,1.44279,18 Rue des Paradoux
FMAMID031V50X9OO,1,JOSEP PONS / JAVIER PERIANES (ORCHESTRE NATIONAL DU CAPITOLE),Deux ambassadeurs de choix nous guident dans ce voyage musical : le pianiste Javier Perianes et le chef Josep Pons.,2025-02-06,2025-02-07,43.60029,1.45457,11 Place Dominique-Martin Dupuy
FMAMID031V50W3M6,1,JULES CÉSAR,"Georg Friedrich Haendel (1685-1759)
Jules César vient de vaincre Pompée en Égypte. Mais il doit faire face au souverain égyptien Ptolémée, lui-même en conflit de pouvoir avec sa soeur Cléopâtre.",2025-02-21,2025-03-02,43.60447,1.44379,Place du Capitole
FMAMID031V50XX2S,1,LA CIGALE,Le groupe partage des histoires aux textes poétiques au goût d'asphalte et de rudéral.,2024-11-28,2024-11-28,43.5844,1.42761,123 Avenue de Muret
FMAMID031V50UV5L,1,LA CINÉMATHÈQUE JUNIOR EN FÊTE !,La Cinémathèque présente son festival pour la jeunesse. Séances spéciales et ateliers adaptés à tous les âges sont au programme de ce week-end de fête . Venez partager en famille une expérience de cinéma hors du commun !,2024-12-13,2024-12-15,43.6071126,1.442091,69 Rue du Taur
FMAMID031V50NHBX,1,LA CINÉMATHÈQUE JUNIOR HORS LES MURS,"Pendant la saison hors les murs, La Cinémathèque Junior propose aux publics jeunes des séances pour tous les âges !",2024-10-27,2024-12-08,43.6007,1.42899,76 Allées Charles de Fitte
FMAMID031V50W7C5,1,LAUGHTON,"Laughton grandit tant bien que mal aux côtés de sa mère, ignoré de l’Ours, cet homme qui occupe la figure paternelle. Il rencontre Vivi dont l’impertinence cache une grande fragilité. 
Lieu : Le Cub - A partir de 10 ans",2025-03-25,2025-03-26,43.604,1.4498,1 Rue Pierre Baudis
FMAMID031V50XY0S,1,LE MARCHÉ DES MAKERS,Bienvenue au marché de Noël dédié aux créateurs curieux et usagés des Fablab.,2024-11-13,2024-12-15,43.60179,1.44279,10 Rue Tripière
FMAMID031V50XX34,1,LE RÉVEILLON DU BIJOU,"Grand Jeu de la St Sylvestre + DJ Set
Pour célébrer le passage à la nouvelle année, Le Bijou vous prépare une soirée inoubliable !",2024-12-31,2024-12-31,43.5844,1.42761,123 Avenue de Muret
FMAMID031V50XSM8,1,LE TENTALISTE,Spectacle de magie et mentalisme,2024-12-06,2024-12-06,43.70833,1.39212,Place du Boulodrome
FMAMID031V50XS3C,1,LES COUILLONS À PARIS,"Une comédie rocambolesque, rat des villes versus rat des champs, à la bonne franquette !",2024-12-31,2024-12-31,43.55353,1.5289,1B Place Jean Bellières
FMAMID031V50AIID,1,LES DIMANCHES DE CRÉATEURS,"Pour cette nouvelle saison 2024, découvrez des styles, des matières et des passionnés avec des créations qui valorisent le savoir faire local et la créativité !",2024-04-14,2024-12-01,43.6036534,1.43546835,Place Saint-Pierre
FMAMID031V50NMXF,1,LES NOCTURNES TOULOUSAINES : NOTRE-DAME-DE-LA-DAURADE,"Se laisser guider dans les couloirs d’un site toulousain en une heure chrono ? C’est parti ! Une lampe de poche à la nuit tombée, une église dans la pénombre, des pas feutrés...",2024-11-29,2024-11-29,43.60107,1.439566,1 Place de la Daurade
FMAMID031V50XOUG,1,LUMIÈRES ROMANTIQUES,"Les Clefs de Saint-Pierre s’invitent à l'Auditorium Saint-Pierre des Cuisines pour une heure de musique à prix doux, toujours en compagnie des musiciens de l’Orchestre National du Capitole !",2024-11-18,2024-11-18,43.6043737,1.4357169,12 place Saint-Pierre
FMAMID031V50XWY1,1,LUSAINT,Lusaint est incontestablement l'une des plus belles sensations vocales de 2024. Elle a conquis les cœurs avec ses mélodies jazz/soul et son timbre de voix teinté de jazz des années 60.,2024-11-18,2024-11-18,43.61196,1.43835,15 Avenue Honoré Serres
FMAMID031V50XRWQ,1,MACADAM À SEC,"Encore et toujours : vive l’Anarchie en République. 40 ans après les « Bérus », ça crisse fort sur le macadam. La jeunesse emmerde le Front national. Oui. Et la vieillesse alors ?
Salle : Foyer",2024-11-20,2024-11-23,43.60719,1.44212,71 Rue du Taur
FMAMID031V50X61E,1,MARCHE DE CRÉATEURS,Rendez-vous pour un chouette événement organisé par l'Association Fait Main 31,2024-09-07,2024-11-23,43.57101,1.47951,Piste des Géants
FMAMID031V50W1G9,1,MARIA JOÃO PIRES,"LES GRANDS INTERPRÈTES

Chacune de ses interprétations reste gravée dans les mémoires : beauté du toucher, limpidité de la sonorité, clarté de la mélodie.",2024-11-19,2024-11-19,43.5998852,1.45417761,1 place Dupuy
FMAMID031V50XMZI,1,MARIANNE JAMES,"Le public la connaît et l'aime pour son franc-parler, sa sensibilité.
Dans ce nouveau seule-en-scène musical, interactif et irrésistiblement drôle, elle endosse le rôle de professeure de chant et emmène les spectateurs à la découverte de leur voix.",2025-02-08,2025-02-08,43.60029,1.45457,11 Place Dominique-Martin Dupuy
FMAMID031V50X9RH,1,MAXIM EMELYANYCHEV (ORCHESTRE NATIONAL DU CAPITOLE),Un grand concert symphonique sous la direction de Maxim Emelyanychev.,2025-04-04,2025-04-04,43.60029,1.45457,11 Place Dominique-Martin Dupuy
FMAMID031V50XRYN,1,MÉLANIE LESAGE,"Nouvel album pour la chanteuse Me´lanie Lesage. Elle vous embarque sur un voilier le long des côtes franc¸aises et vous invite dans l’intimite´ de sa cabine…
Salle : Foyer",2024-12-05,2024-12-05,43.60719,1.44212,71 Rue du Taur
FMAMID031V50XVYF,1,MEURTRE AUX JACOBINS,Un drame terrible s’est produit au couvent des Jacobins et la résolution de ce mystère repose sur vos épaules et celle de votre équipe !,2025-01-23,2025-03-27,43.6037086,1.4398824,Allée Maurice Prin
FMAMID031V50W650,1,MICHAEL VOLLE,Lieder de Franz Schubert.,2025-03-06,2025-03-06,43.60447,1.44379,Place du Capitole
FMAMID031V50W69D,1,MISSA CRIOLLA,"Ariel Ramírez (1921-2010) 
Avec la Missa Criolla, il déploie toute la richesse des couleurs et rythmes créoles au service d’une piété populaire et joyeuse qui transcende les frontières.",2024-12-07,2024-12-08,43.60447,1.44379,Place du Capitole
FMAMID031V50W7BW,1,NEANDERTAL,"Neandertal met en scène un groupe de scientifiques qui se lancent dans une tentative de réécriture de l’Histoire des origines de l’humanité en déchiffrant des fragments d’ADN ancien.
Lieu : La Salle",2025-03-20,2025-03-26,43.604,1.4498,1 Rue Pierre Baudis
FMAMID031V50W3MC,1,NORMA,"Vincenzo Bellini (1801-1835)
Durant la révolte des Gaulois contre Rome, la druidesse Norma est abandonnée par le père secret de ses enfants, le proconsul romain Pollione, qui lui préfère la jeune prêtresse Adalgisa.",2025-03-26,2025-04-06,43.60447,1.44379,Place du Capitole
FMAMID031V50W1IT,1,ORCHESTRE PHILHARMONIQUE DE RADIO FRANCE,"LES GRANDS INTERPRÈTES

Si vous aimez le grand large, les vagues immenses de l’orchestre, la Symphonie n°2 de Rachmaninov a toutes les chances de vous faire chavirer de bonheur.",2024-12-05,2024-12-05,43.5998852,1.45417761,1 place Dupuy
FMAMID031V50UW1G,1,PALAIS DE JUSTICE OU LA VILLE ENFOUIE,"Le palais de justice ouvre juste pour vous sa crypte archéologique : dans son ambiance feutrée, à l’ombre de ses murs épais, découvrez des vestiges de l’histoire toulousaine, celle des Romains, des comtes de Toulouse et bien d’autres encore.",2024-10-26,2024-12-07,43.5940444,1.44670092,2 Allées Jules Guesde
